,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2024,CALIFORNIA,"ROCKFISH, REDSTRIPE",,,,Confidential,Commercial,Sebastes proriger,166736,PACFIN
2024,CALIFORNIA,"ROCKFISH, ROSETHORN",111,0,194,Public,Commercial,Sebastes helvomaculatus,166723,PACFIN
2024,CALIFORNIA,"ROCKFISH, ROSY","1,599",1,"3,897",Public,Commercial,Sebastes rosaceus,166738,PACFIN
2024,CALIFORNIA,"ROCKFISH, ROUGHEYE/BLACKSPOT",,,,Confidential,Commercial,Sebastes aleutianus,166706,PACFIN
2024,CALIFORNIA,"ROCKFISH, ROUGHEYE/BLACKSPOT","7,585",3,"13,359",Public,Commercial,Sebastes aleutianus,166706,PACFIN
2024,CALIFORNIA,"ROCKFISH, SHARPCHIN",,,,Confidential,Commercial,Sebastes zacentrus,166744,PACFIN
2024,CALIFORNIA,"ROCKFISH, SHORTBELLY","5,677",3,92,Public,Commercial,Sebastes jordani,166725,PACFIN
2024,CALIFORNIA,"ROCKFISH, SHORTRAKER",,,,Confidential,Commercial,Sebastes borealis,166712,PACFIN
2024,CALIFORNIA,"ROCKFISH, SILVERGRAY","9,544",4,310,Public,Commercial,Sebastes brevispinis,166711,PACFIN
2024,CALIFORNIA,"ROCKFISH, SPECKLED","2,565",1,"8,765",Public,Commercial,Sebastes ovalis,166757,PACFIN
2024,CALIFORNIA,"ROCKFISH, SPLITNOSE","24,453",11,"1,023",Public,Commercial,Sebastes diploproa,166716,PACFIN
